Year, Last, Missing, First, Missing, Season Length
1946, 05-12 (1946), 0, 09-29 (1946), 0, 139
1947, 05-29 (1947), 0, 10-28 (1947), 0, 151
1948, 04-09 (1948), 0, 10-12 (1948), 0, 185
1949, 04-18 (1949), 0, 09-28 (1949), 0, 162
1950, 05-01 (1950), 0, 10-03 (1950), 0, 154
1951, 04-23 (1951), 0, 09-28 (1951), 0, 157
1952, 04-16 (1952), 0, 10-05 (1952), 0, 171
1953, 05-14 (1953), 0, 10-04 (1953), 0, 142
1954, 05-09 (1954), 0, 09-22 (1954), 0, 135
1955, 05-08 (1955), 0, 10-08 (1955), 0, 152
1956, 04-30 (1956), 0, 09-30 (1956), 0, 152
1957, 04-14 (1957), 0, 10-18 (1957), 0, 186
1958, 04-29 (1958), 0, 09-30 (1958), 0, 153
1959, 05-15 (1959), 0, 10-09 (1959), 0, 146
1960, 04-30 (1960), 0, 10-16 (1960), 0, 168
1961, 05-09 (1961), 0, 09-25 (1961), 0, 138
1962, 04-17 (1962), 0, 09-20 (1962), 0, 155
1963, 05-22 (1963), 0, 10-28 (1963), 0, 158
1964, 04-22 (1964), 0, 10-05 (1964), 0, 165
1965, 04-28 (1965), 0, 09-23 (1965), 0, 147
1966, 05-13 (1966), 0, 10-05 (1966), 0, 144
1967, 05-03 (1967), 0, 09-28 (1967), 0, 147
1968, 05-21 (1968), 0, 10-03 (1968), 0, 134
1969, 04-29 (1969), 0, 10-08 (1969), 0, 161
1970, 05-02 (1970), 0, 10-09 (1970), 0, 159
1971, 05-02 (1971), 0, 09-19 (1971), 0, 139
1972, 04-24 (1972), 0, 10-06 (1972), 0, 164
1973, 04-27 (1973), 0, 10-28 (1973), 0, 183
1974, 04-16 (1974), 0, 09-30 (1974), 0, 166
1975, 04-20 (1975), 0, 09-25 (1975), 0, 157
1976, 05-07 (1976), 0, 10-06 (1976), 0, 151
1977, 04-06 (1977), 0, 10-09 (1977), 0, 185
1978, 05-02 (1978), 0, 10-06 (1978), 0, 156
1979, 05-11 (1979), 0, 10-12 (1979), 0, 153
1980, 05-08 (1980), 0, 10-12 (1980), 0, 156
1981, 05-11 (1981), 0, 10-18 (1981), 0, 159
1982, 04-22 (1982), 0, 10-16 (1982), 0, 176
1983, 05-15 (1983), 0, 09-22 (1983), 0, 129
1984, 05-01 (1984), 0, 09-25 (1984), 0, 146
1985, 04-14 (1985), 0, 09-24 (1985), 0, 162
1986, 04-22 (1986), 0, 10-12 (1986), 0, 172
1987, 04-12 (1987), 0, 10-02 (1987), 0, 172
1988, 04-28 (1988), 0, 10-04 (1988), 0, 158
1989, 05-07 (1989), 0, 09-23 (1989), 0, 138
1990, 05-01 (1990), 0, 09-23 (1990), 0, 144
1991, 04-10 (1991), 0, 09-19 (1991), 0, 161
1992, 04-27 (1992), 0, 10-09 (1992), 0, 164
1993, 04-09 (1993), 0, 09-15 (1993), 0, 158
1994, 05-01 (1994), 0, 10-24 (1994), 0, 175
1995, 05-05 (1995), 0, 09-22 (1995), 0, 139
1996, 04-30 (1996), 0, 09-28 (1996), 0, 150
1997, 05-20 (1997), 0, 10-13 (1997), 0, 145
1998, 04-17 (1998), 0, 10-21 (1998), 0, 186
1999, 04-18 (1999), 0, 09-21 (1999), 0, 155
2000, 04-21 (2000), 0, 09-25 (2000), 0, 156
2001, 04-24 (2001), 0, 10-05 (2001), 0, 163
2002, 05-18 (2002), 0, 10-06 (2002), 0, 140
2003, 04-22 (2003), 0, 09-25 (2003), 0, 155
2004, 05-14 (2004), 0, 10-01 (2004), 0, 139
2005, 05-03 (2005), 0, 09-29 (2005), 0, 148
2006, 04-26 (2006), 0, 10-11 (2006), 0, 167
2007, 04-15 (2007), 0, 10-26 (2007), 0, 193
2008, 04-28 (2008), 1, 10-14 (2008), 0, 168
2009, 04-28 (2009), 0, 10-04 (2009), 0, 158
2010, 04-17 (2010), 0, 10-15 (2010), 0, 180
2011, 05-03 (2011), 0, 09-15 (2011), 0, 134
2012, 04-23 (2012), 0, 09-22 (2012), 0, 151
2013, 05-12 (2013), 0, 10-13 (2013), 0, 153
2014, 05-17 (2014), 0, 10-04 (2014), 0, 139
2015, 04-23 (2015), 0, 10-16 (2015), 0, 175
2016, -, 108, -, 365, -
Minimum, 04-06 (1977), 09-15 (2011), 129
Mean, 04-29, 10-04, 157
Maximum, 05-29 (1947), 10-28 (1973), 193
