Countyname,count2007
Kearney,2326
Sheridan,678
Hall,4522
Dawson,4083
Morrill,997
Adams,2427
Box Butte,1306
Keith,1265
Deuel,355
Holt,3060
Thayer,1648
Saline,1203
Cedar,866
Webster,737
Custer,2222
Cuming,492
Red Willow,1059
Merrick,5318
Fillmore,2300
Nuckolls,876
Dundy,1068
Furnas,955
Franklin,1163
Madison,1004
York,3080
Hayes,518
Seward,1416
Hitchcock,600
Clay,2358
Phelps,2266
Buffalo,4137
Lincoln,2337
Dodge,1832
Jefferson,770
Boone,1616
McPherson,111
Butler,1400
Harlan,1167
Polk,1937
Platte,2087
Wayne,302
Chase,1451
Gosper,761
Nemaha,124
Banner,420
Pierce,1258
Antelope,2206
Hamilton,3169
Wheeler,612
Saunders,1055
Nance,1245
Rock,684
Colfax,1117
Sherman,678
Thurston,117
Scotts Bluff,874
Washington,129
Valley,602
Sarpy,155
Greeley,824
Douglas,383
Dixon,208
Burt,521
Garfield,221
Gage,633
Cass,52
Howard,1129
Cherry,480
Sioux,359
Frontier,723
Logan,218
Knox,487
Keya Paha,233
Garden,395
Stanton,419
Lancaster,357
Perkins,918
Cheyenne,616
Kimball,405
Brown,462
Blaine,116
Grant,26
Johnson,186
Dakota,134
Otoe,54
Boyd,69
Arthur,90
Dawes,88
Loup,127
Hooker,30
Thomas,38
Richardson,41
Pawnee,3
